sentence_id,seg_start,seg_end,F0_mean,F0_sd,F0_median,F1_mean,F1_sd,F1_median,F2_mean,F2_sd,F2_median,F3_mean,F3_sd,F3_median
1,0.0000,6.7700,,,,1469.3233,13.6757,1464.7825,2801.7991,20.7858,2794.6436,5435.9010,45.3967,5437.1363
2,7.4700,10.7200,116.1541,34.7832,110.9435,606.4899,224.7266,550.6286,1579.4626,408.0910,1547.1732,2493.3144,471.4266,2382.0654
3,12.0000,13.6400,119.4062,42.9323,115.0533,701.4873,344.6388,586.6760,1802.0080,405.5063,1741.8528,2941.8234,542.1763,2936.1918
4,16.1900,19.5400,121.7937,32.9770,125.8444,454.9414,192.2429,422.8474,1550.9585,469.8090,1550.7970,2755.4183,339.9029,2646.4141
5,21.5800,23.0800,128.6592,32.0383,132.6435,504.4593,270.8630,427.4254,1456.2509,440.2118,1415.6275,2774.9405,365.7487,2719.5768
6,23.3600,25.6500,119.1909,28.8223,121.1424,623.6006,260.0842,614.9982,1388.6589,420.9278,1300.1705,2785.4330,405.1918,2726.2878
7,25.9300,26.8400,137.3094,37.5230,148.9833,519.7702,229.4683,424.3732,1649.3862,454.6731,1905.6664,2509.0810,280.6085,2487.2810
8,27.1800,29.3600,102.3122,30.7421,104.5924,462.8219,243.0803,380.6409,1794.9398,328.7298,1796.6310,2598.6425,382.0674,2555.0096
9,29.5600,31.4600,89.0959,18.5730,95.9362,716.9023,278.2107,679.9166,1630.0950,387.9765,1638.9553,2600.5433,409.9238,2523.1277
10,33.4000,35.7600,136.7509,34.4570,140.7724,733.2194,368.6736,687.7234,1683.5630,563.2417,1703.2286,2854.7948,570.7973,2785.9095
11,36.4700,40.7100,129.2733,35.4342,127.4636,534.3935,250.2914,467.4887,1569.5673,473.3023,1563.8079,2662.5166,426.9253,2571.3137
12,41.6500,44.5300,138.3524,39.1554,124.2225,575.2925,344.1362,457.3240,1776.6974,520.1645,1828.5130,2720.2004,555.1552,2616.4341
13,44.9600,45.9300,118.5029,34.1796,138.6027,563.1412,234.5994,488.4804,1561.2744,495.0477,1583.2891,2887.9037,378.7927,2865.8944
